cal_yr,contr,retir,retir_0,regr_0,contr_amt,ben_amt,p_avg,ie_avg,cov,idx,est_0,est_act
2015,1242385,156262,14186,188183,1.76706,1.235746,7908.167053,12930.11572,11.61608261,15,4642,51237
2016,1353610,174164,31352,186609,1.54407,1.748834,10041.3059,10370.0475,12.42003623,20,7426,57925
2017,1440424,189549,31483,281328,1.94734,2.18965,11551.89423,12290.19435,12.97016418,18,11567,58745
2018,1547407,200000,30950,281311,2.213,2.495445,12477.225,13001.22193,13.6736827,10,12974,67101
2019,1625255,215852,27889,296269,2.454,2.945708,13646.88768,13726.51732,14.0938053,11,13739,69699
2020,1633505,227407,22381,204136,4.167564,3.302751,14523.5239,23193.65135,13.90122398,11,12389,62472
2021,1734168,225768,18231,277819,3.37569,3.62828,16070.83378,17696.14646,14.48270074,10,15469,75978
2022,1843833,235762,17371,317308,4.356235,4.170289,17688.55456,21478.15793,15.11143781,10,7778,83756
2023,1951494,244810,19294,338198,6.014789,5.45807,22295.12683,28019.50711,14.85288718,25,4884,88640
2024,2007411,254056,19022,357567,8.8,6.5,25584.91041,39852.3272,14.99467082,15,1259,89899
